Date,Close,lgbm,lstm,final_pred
2024-05-11,,183.05522177467228,181.57365,183.05522177467228
2024-05-12,,183.05522177467228,182.4717,183.05522177467228
2024-05-13,,183.05522177467228,183.02148,183.05522177467228
2024-05-14,,183.05522177467228,183.30351,183.05522177467228
2024-05-15,,183.05522177467228,183.39543,183.05522177467228
2024-05-16,,183.05522177467228,183.36436,183.05522177467228
2024-05-17,,183.05522177467228,183.26369,183.05522177467228
2024-05-18,,183.05522177467228,183.13274,183.05522177467228
2024-05-19,,183.05522177467228,182.9981,183.05522177467228
2024-05-20,,183.05522177467228,182.87605,183.05522177467228
2024-05-21,,183.05522177467228,182.77489,183.05522177467228
2024-05-22,,183.05522177467228,182.69731,183.05522177467228
2024-05-23,,183.05522177467228,182.64238,183.05522177467228
2024-05-24,,183.05522177467228,182.60716,183.05522177467228
2024-05-25,,183.05522177467228,182.58775,183.05522177467228
2024-05-26,,183.05522177467228,182.58014,183.05522177467228
2024-05-27,,183.05522177467228,182.58072,183.05522177467228
2024-05-28,,183.05522177467228,182.58635,183.05522177467228
2024-05-29,,183.05522177467228,182.59471,183.05522177467228
2024-05-30,,183.05522177467228,182.604,183.05522177467228
2024-05-31,,183.05522177467228,182.61311,183.05522177467228
2024-06-01,,183.05522177467228,182.62132,183.05522177467228
2024-06-02,,183.05522177467228,182.62827,183.05522177467228
2024-06-03,,183.05522177467228,182.63387,183.05522177467228
2024-06-04,,183.05522177467228,182.63818,183.05522177467228
2024-06-05,,183.05522177467228,182.64131,183.05522177467228
2024-06-06,,183.05522177467228,182.64354,183.05522177467228
2024-06-07,,183.05522177467228,182.64502,183.05522177467228
2024-06-08,,183.05522177467228,182.6459,183.05522177467228
2024-06-09,,183.05522177467228,182.64641,183.05522177467228
