,Date,Tweet,sentiment_score
52500,2022-09-13,$GOOG Alphabet's Income Statement. https://t.co/CiDZHrXres,
52501,2022-09-13,Why don't you own $GOOG?,
52502,2022-09-13,"On an operating cashflow basis this is one of the cheapest $GOOG $GOOGL has ever been. Its been 12x cashflow only twice before, its currently about 14x",
52503,2022-09-13,"I have been bear 🐻 on $goog off 135.. each and every bump in stock has been sold .. 

It’s testing a key level 105.. 

If gone, the light will be snuffed out of bull. 

$googl",
