Date,Close,lgbm,lstm,final_pred
2024-05-11,,168.47546329470984,175.59178,168.47546329470984
2024-05-12,,168.47546329470984,172.69717,168.47546329470984
2024-05-13,,168.47546329470984,171.0253,168.47546329470984
2024-05-14,,168.47546329470984,170.40712,168.47546329470984
2024-05-15,,168.47546329470984,170.5151,168.47546329470984
2024-05-16,,168.47546329470984,171.01082,168.47546329470984
2024-05-17,,168.47546329470984,171.62183,168.47546329470984
2024-05-18,,168.47546329470984,172.16866,168.47546329470984
2024-05-19,,168.47546329470984,172.5615,168.47546329470984
2024-05-20,,168.47546329470984,172.7799,168.47546329470984
2024-05-21,,168.47546329470984,172.84747,168.47546329470984
2024-05-22,,168.47546329470984,172.80829,168.47546329470984
2024-05-23,,168.47546329470984,172.70964,168.47546329470984
2024-05-24,,168.47546329470984,172.59119,168.47546329470984
2024-05-25,,168.47546329470984,172.4807,168.47546329470984
2024-05-26,,168.47546329470984,172.39348,168.47546329470984
2024-05-27,,168.47546329470984,172.33472,168.47546329470984
2024-05-28,,168.47546329470984,172.30257,168.47546329470984
2024-05-29,,168.47546329470984,172.29149,168.47546329470984
2024-05-30,,168.47546329470984,172.29456,168.47546329470984
2024-05-31,,168.47546329470984,172.30536,168.47546329470984
2024-06-01,,168.47546329470984,172.31883,168.47546329470984
2024-06-02,,168.47546329470984,172.33159,168.47546329470984
2024-06-03,,168.47546329470984,172.34177,168.47546329470984
2024-06-04,,168.47546329470984,172.3488,168.47546329470984
2024-06-05,,168.47546329470984,172.35286,168.47546329470984
2024-06-06,,168.47546329470984,172.35457,168.47546329470984
2024-06-07,,168.47546329470984,172.35468,168.47546329470984
2024-06-08,,168.47546329470984,172.35388,168.47546329470984
2024-06-09,,168.47546329470984,172.35274,168.47546329470984
